2021-12-10 00:02:16.671  INFO 12224 --- [SpringApplicationShutdownHook] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2021-12-10 00:02:16.675  INFO 12224 --- [SpringApplicationShutdownHook] .SchemaDropperImpl$DelayedDropActionImpl : HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
2021-12-10 00:02:28.778  INFO 11324 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@26a33cf, org.springframework.security.web.context.SecurityContextPersistenceFilter@295d54d6, org.springframework.security.web.header.HeaderWriterFilter@7bbd76b8, org.springframework.security.web.authentication.logout.LogoutFilter@54496c2d, com.gruposei.gestion_orquestas.filters.JwtRequestFilters@37a3ec27, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4a7db5a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7a3a49e5, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@29188050, org.springframework.security.web.session.SessionManagementFilter@1bb4c431, org.springframework.security.web.access.ExceptionTranslationFilter@59b98ad1, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6124dda2]
2021-12-10 00:02:29.425  INFO 11324 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8080 (http) with context path ''
2021-12-10 00:02:29.435  INFO 11324 --- [main] c.g.g.GestionOrquestasApplication        : Started GestionOrquestasApplication in 7.819 seconds (JVM running for 8.458)
2021-12-10 00:02:32.826  INFO 11324 --- [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-12-10 00:02:32.827  INFO 11324 --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2021-12-10 00:02:32.828  INFO 11324 --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
2021-12-10 00:03:15.975  INFO 11324 --- [SpringApplicationShutdownHook] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2021-12-10 00:03:15.976  INFO 11324 --- [SpringApplicationShutdownHook] .SchemaDropperImpl$DelayedDropActionImpl : HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
2021-12-10 00:03:16.084  INFO 11324 --- [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown initiated...
2021-12-10 00:03:16.091  INFO 11324 --- [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown completed.
2021-12-10 00:03:21.038  INFO 13024 --- [main] c.g.g.GestionOrquestasApplication        : Starting GestionOrquestasApplication using Java 1.8.0_302 on DESKTOP-VHDC6FE with PID 13024 (D:\Descargas\DP\gestion_orquestas\target\classes started by Dabeer in D:\Descargas\DP\gestion_orquestas)
2021-12-10 00:03:21.042  INFO 13024 --- [main] c.g.g.GestionOrquestasApplication        : No active profile set, falling back to default profiles: default
2021-12-10 00:03:21.855  INFO 13024 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2021-12-10 00:03:21.988  INFO 13024 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 121 ms. Found 23 JPA repository interfaces.
2021-12-10 00:03:23.241  INFO 13024 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
2021-12-10 00:03:23.258  INFO 13024 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2021-12-10 00:03:23.258  INFO 13024 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.53]
2021-12-10 00:03:23.395  INFO 13024 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
